School,other_names,State,join_id,operation_dates,religions_identified,tribes_identified,deaths_documented_by_post,deaths_documented_by_govt,grave_sites_found_by_post,grave_sites_found_by_govt
Charles H. Burke Indian School,"Fort Wingate Boarding School; Fort Wingate Vocational High School; Wingate Indian
School; Wingate Vocational High School; Windgate School; Chas. H. Burke Indian School;
Wingate High School*",NM,204,1926 - Open,,"Apache; Cherokee; Hopi, Moqui Pueblo; Mescalero Apache; Navajo, Navaho, Dine; Paiute, Pi-Ute; Pawnee; Pueblo of Acoma, Haak'u; Pueblo of Laguna, Ka'waika; Pueblo of Santo Domingo; Pueblo of Zuni, Ashiwi; San Carlos Apache; Sioux",22,18,,1 onsite
Warm Springs Boarding and Day School,,OR,357,1882 - 1935,Presbyterian,"Chippewa; Hupa, Hoopa; Klikitat; Northern Paiute from Warm Springs; Paiute from Warm Springs; Paiute, Pi-Ute; Seneca; Sioux; Tenino from Warm Springs; Wasco, Wishram; Wasco, Wishram, Chinook from Warm Springs; Yakama, Yakima",22,3,,
Keams Canyon Boarding School,"Moquis Indian School; Moqui Industrial School; Moquis Boarding School; Keam's Canyon
(Moqui Boarding); Keam's Cañon; Keam's Canyon (Hopi); Hopi Boarding School; Hopi
(Moqui) Training School; Keams Canyon Elementary School",UT,48,1887 - Open,,"Hopi from Colorado River; Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Pima",20,20,,
Pipestone Indian School,,MN,161,1893 - 1959,,"Arikara, Arickaree, Arikaree; Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Cheyenne River Sioux; Chippewa; Crow Creek Sioux; Flandreau Santee Sioux; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Mandan, Mantannes, Mayadana; Minnesota Chippewa; Omaha; Oneida, Wisconsin; Ottawa, Odawa, Odaawaa; Red Lake Band of Chippewa, Minnesota; Rosebud Sioux; Sac and Fox; Sac and Fox of the Mississippi in Iowa; Santee Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",20,3,,
Tulalip Indian Industrial School,Tulalip Training School; Tulalip Industrial Boarding School; Tulalip Agency Male and Female School,WA,406,1901 - 1932,Catholic,"Chehalis; Cherokee; Colville; Cowlitz; Duwamish; Flathead Indians; Lummi; Makah, Ozette Makah; Muckleshoot; Nisqually, Nisqualli; Nooksack; Port Madison, Suquamish; Puyallup; Quileute; Quinault, Quinaielt; Samish; Skagit; S'klallam, Klallam, Clallam; Skokomish; Snohomish; Snoqualmie; Squaxin Island, Squaxon; Suquamish; Swinomish; Tulalip; White Earth Band Chippewa; Yakama, Yakima",20,1,1 offsite,
Fort Mojave Industrial School,"Fort Mojave Boarding School; Fort Mojave Training School; Fort Mohave; Fort Mojave
School; Herbert Welsh Institute",AZ,62,1890 - 1931,,"Apache; Chemehuevi from Colorado River; Chemehuevi, Chimehuevi Pauite; Cherokee; Chippewa; Digger Indian; Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Havasupai, Yava Supai; Hopi, Moqui Pueblo; Kaibab Band of Paiute; Mission Indians, California; Moapa Band of Paiute; Mohave from Colorado River; Mohave, Mojave; Navajo, Navaho, Dine; Paiute of Utah; Paiute Shoshone; Paiute, Pi-Ute; Pima; Pueblo; Pueblo of Isleta, Tue-I; Salt River Pima; Sioux; Tohono O'odham, Papago; United Auburn; Yakama, Yakima",19,5,,
Pima Boarding School,Pima Agency Boarding School; Pima Central Day School; Sacaton Boarding School; Sacaton Central School,AZ,74,1880 - 1970,,"Pima; Tohono O'odham, Papago",19,7,,
Seger Indian Training School,Seger Colony Boarding,OK,343,1892 - 1941,Dutch Reformed Church,"Apache; Arapaho, Arapahoe; Caddo; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Choctaw; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Kickapoo, Kiikaapoa, Kiikaapoi; Otoe; Pawnee; Pima; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Seminole; Shawnee; Sioux",19,2,1 offsite,
Siletz Boarding School,Liberty Industrial School; Siletz Industrial Boarding School,OR,355,1873 - 1919,,"Alsea Yaquina from Siletz; Athabascan, Athapascan, Dene, Dena, Tinne, Tinneh; Coos from Siletz; Coquille, Ko-Kwel; Klamath, Oregon; Klikitat; Mille Lacs Band of Ojibwe, Chippewa, Minnesota; Rogue River Indians; Saiustkea; Shasta; Shasta Cosa from Siletz, Chastacosta; Shasta from Siletz, Kahosadi; Siuslaw; Tilamook, Nekelim, Siletz from Siletz; Tututni; Tututni from Siletz; Umpqua",19,0,,
Lincoln Institution,"Boys' Home of the Lincoln Institute; Educational Home
for Boys; Lincoln Institute",PA,358,1855 - 1902 | 1866 - 1926,Protestant Episcopal,"Cheyenne; Chippewa; Crow, Absaroka; Delaware, Lenni Lenape; Haudenosaunee, Iroquois Confederacy, Six Nations; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Nebraska; Kiowa; Miami; Modoc; Mohawk, Kanien 'keha:ka; Navajo, Navaho, Dine; Ojibwe, Ojibwa, Saulteaux; Omaha; Oneida; Osage; Pawnee; Santee Sioux; Sioux; Wichita, Kitikiti'sh",19,10,1 offsite,
Choctaw Indian Academy,Chocktaw Academy; The Academy,KY,135,1825 - 1830 | 1830 - 1848,Baptist; Baptist Mission Society of Kentucky,"Cherokee; Chicago; Chickasaw, Chikashsha; Chippewa; Choctaw; Creek, Muscogee, Mvskoke; Ho-Chunk, Winnebago; Iowa, Ioway, Bah-Kho-Je, Baxoje; Miami; Osage; Ottawa, Odawa, Odaawaa; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Prairie du Chien Tribe; Quapaw; Sac and Fox; Seminole",18,30,,1 onsite
St. Xavier Mission School,Pretty Eagle Catholic Academy*; San Xavier,MT,177,1887 - Open,Catholic,"Crow, Absaroka",17,0,,1 onsite
St. Paul's Industrial School,Clontarf Industrial School,MN,157,1877 - 1898,Catholic,Chippewa; Sioux,16,0,,1 offsite
Wahpeton Indian School,Wahpeton School; Wahpeton Indian School; Circle of Nations*,ND,268,1908 - Open,,"Arikara, Arickaree, Arikaree; Assiniboine; Cheyenne River Sioux; Chippewa; Chippewa from Rocky Boys, Montana; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago, Nebraska; Leech Lake Band Chippewa, Minnesota; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Mohawk, Kanien'keha:ka; Nakoda from Fort Belknap; Navajo, Navaho, Dine; Pascua Yaqui; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Red Lake Band of Chippewa, Minnesota; Rosebud Sioux; Sac and Fox of the Mississippi in Iowa; Sandy Lake Band of Mississippi Chippewa; Shoshone, Shoshoni, Snake; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",16,8,2 offsite,
Riverside Indian School,Riverside Boarding; Wichita Caddo School; Wichita Indian Boarding School,OK,295,1871 - Open,,"Apache; Caddo; Cherokee; Cheyenne; Cheyenne Arapaho, Oklahoma; Chickasaw, Chikashsha; Chippewa; Choctaw; Comanche; Cree; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Kiowa; Kiowa Apache, Plains Apache; Otoe; Pawnee; Seminole; Shawnee; Sioux; Wichita, Kitikiti'sh",16,14,,1 onsite
Uintah Boarding and Day School,Uintah Valley Boarding School; White Rocks Boarding School; Ute Indian Boarding School,UT,397,1881 - 1952,Presbyterian Board of Home Missions,"Bannock, Northern Paiute; Blackfeet, Blackfoot; Digger Indian; Mission Indians, California; Shoshone Bannock; Shoshone, Shoshoni, Snake; Southern Ute; Ute; Ute Indian Tribe of the Uintah and Ouray",16,7,,
Cherokee Boarding School,Eastern Cherokee School; Eastern Cherokee Training School; Cherokee Central High School*,NC,251,1877 - Open,Quaker; Religious Society of Friends,"Catawba, Issa, Essa, Iswa; Cherokee; Eastern Cherokee, North Carolina",15,15,1 offsite,1 onsite
Fort Coffee Academy,Fort Coffee Manual Labor School; Providence,OK,320,1844 - 1861,Methodist,Choctaw,15,15,,1 onsite
New Hope Academy,New Hope Seminary,OK,442,1844 - 1896,Methodist,Choctaw,15,14,,
Dwight Mission School,Dwight Indian Training School; Dwight Mission Industrial School,OK,445,1827 - 1835 | 1835 - 1948,American Board of Commissioners for Foreign Missions (ABCFM); Presbyterian,Cherokee,15,0,,1 onsite
Theodore Roosevelt Indian Boarding School,Theodore Roosevelt Boarding School; Fort Apache School; Theodore Roosevelt School*,AZ,55,1923 - Open,,"Apache; Navajo, Navaho, Dine; Pueblo of Zuni, Ashiwi; White Mountain Apache",14,11,,
Cheyenne and Arapaho Boarding School,Concho Indian Boarding School,OK,286,1909 - 1983,,"Arapaho, Arapahoe; Caddo; Cherokee; Cheyenne; Cheyenne Arapaho, Oklahoma; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Kickapoo, Kiikaapoa, Kiikaapoi; Otoe; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Seminole; Seneca; Shawnee; Sioux; Southern Arapaho, Oklahoma; Southern Cheyenne, Oklahoma; Tonkawa, Oklahoma; Wyandot, Wyandotte",14,11,,
Seneca Boarding School,"Seneca Indian School; Wyandotte Mission; Seneca, Shawnee, and Wyandotte Industrial Boarding School; Seneca Industrial Boarding School; Seneca (Quapaw)",OK,309,1872 - 1980,Quaker,"Apache; Arapaho, Arapahoe; Cherokee; Cherokee of Oklahoma, Cherokee Nation; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Eastern Shawnee of Oklahoma; Kickapoo, Kiikaapoa, Kiikaapoi; Miami; Modoc, Oklahoma; Munsee, Muncee, Minsi; Oneida; Osage; Ottawa, Odawa, Odaawaa; Peoria; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Quapaw; Sac and Fox; Seneca; Seneca-Cayuga Nation, Oklahoma; Shawnee; Shoshone, Shoshoni, Snake; Wyandot, Wyandotte",14,6,,
Cherokee Orphan Training School,"Cherokee Indian Orphan Asylum and School; Cheroke Orphan Asylum; Cherokee Orphan
Academy; Cherokee Orphan Home",OK,335,1871 - 1923,,"Cherokee; Choctaw of Oklahoma, Choctaw Nation; Muscogee Creek of Oklahoma",14,0,,1 onsite
Hayward Boarding School,Hayward Indian School,WI,420,1901 - 1934,,"Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Chippewa; Fond du Lac Band Chippewa, Minnesota; Lac Courte Oreilles Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Minnesota Chippewa; Red Cliff Band, Lake Superior Chippewa, Wisconsin; Sioux; St Croix Chippewa, Saint Croix, Wisconsin; White Earth Band Chippewa",14,3,1 offsite,
Fort Bidwell Indian Boarding School,Fort Bidwell Training School; Fort Bidwell Boarding School,CA,83,1898 - 1932,,"Cedarville Paiute; Cowlitz; Digger Indian; Fort Bidwell Paiute; Klamath; Modoc from Klamath, Oregon; Paiute, Pi-Ute; Pit River; Summit Lake Paiute, Nevada; Tolowa Dee-ni', Smith River; Wintun, Wintoon",13,0,1 offsite,
Vermillion Lake Indian School,Lake Vermillion Boarding School,MN,158,1899 - 1954,,"Bois Forte Band Chippewa, Nett Lake, Minnesota; Sandy Lake Band of Mississippi Chippewa",13,1,1 offsite,
Fort Stevenson Boarding School,Fort Stephenson Industrial School; Howard Institute,ND,261,1883 - 1894,,"Arikara, Arickaree, Arikaree; Assiniboine; Crow, Absaroka; Gros Ventre, Aaniiih; Hidatsa, Hiraaca; Mandan, Mantannes, Mayadana; Turtle Mountain Band of Chippewa",13,0,,
Standing Rock Agency Boarding School,Standing Rock Indian Industrial Boarding School; Boy's School at Standing Rock; Fort Yates School; Standing Rock Community School,ND,263,1877 - 1951,Benedictine; Catholic,Chippewa; Cree; Oglala Sioux from Pine Ridge; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa,13,8,,
St. Patrick's Mission and Boarding School,Anadarko Boarding School,OK,299,1892 - 1933,Catholic; Catholic Bureau of Indian Missions,"Apache; Arapaho, Arapahoe; Caddo; Cheyenne; Comanche; Delaware, Lenni Lenape; Hopi from Colorado River; Hopi, Moqui Pueblo; Kiowa; Kiowa Apache, Plains Apache; Pawnee; Pit River; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Round Valley; Wichita, Kitikiti'sh; Wyandot, Wyandotte",13,0,1 offsite,
Cheyenne River Agency Boarding School,Forest City Boarding School,SD,385,1893 - 1959,,"Blackfeet, Blackfoot; Cheyenne River Sioux; Chippewa; Miniconjou, Minnekonjou; Rosebud Sioux; Sans Arc Sioux; Sioux; Standing Rock Sioux; Two Kettle Sioux",13,4,,
Fort Simcoe Indian Boarding School,"Yakama; Yakima Indian Boarding School; Yakima Agency Boarding School; Yakima
Reservation School; Yakima School",WA,414,1860 - 1922,Methodist,"Klikitat; Wasco, Wishram; Yakama, Yakima",13,6,1 offsite,
Leupp Boarding and Day School,"Leupp Schools, Inc.; Old Leupp Boarding and Day School",AZ,59,1909 - 1942,,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Oneida; Sioux; White Earth Band Chippewa",12,12,,
Hoopa Valley Boarding School,Hupa Valley Boarding,CA,86,1893 - 1934,,"Blue Lake Rancheria of the Wiyot, Yurok, Hupa; Eel River, Lassik, Wailaki; Hupa, Hoopa; Karuk; Klamath; Quartz Valley, Klamath, Karuk, Shasta; Santa Rosa Band of Mission Indians, Cahuilla; Scotts Valley, Pomo; Shasta; Tolowa Dee-ni', Smith River",12,4,,
Jones Male Academy,Jones Academy*,OK,321,1891 - Open,,"Cherokee; Chickasaw, Chikashsha; Choctaw",12,9,,
Yankton Industrial Boarding School,Yankton Agency Boarding School; Dakota Industrial School in Yankton City,SD,392,1882 - 1919,,"Yankton Sioux, Yanktonai",12,1,,
Ouray Indian School,Ouray Boarding School; Uncompahgre Boarding School,UT,396,1893 - 1906,,Uncompahgre Ute; Ute Indian Tribe of the Uintah and Ouray,12,5,,
Tomah Indian Industrial School,Tomah VA Medical Center,WI,426,1893 - 1941,,"Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Chippewa; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Wisconsin; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Menominee, Menomini, Mamaceqtaw; Minnesota Chippewa; Mohawk, Kanien 'keha:ka; Nakoda from Fort Peck; Oneida; Oneida, Wisconsin; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Sioux; Stockbridge-Munsee, Stockbridge Mohican; White Earth Band Chippewa",12,2,,
Klamath Agency / Yainax Boarding School,Klamath Indian School,OR,349,1873 - 1928,,"Klamath; Modoc; Modoc from Klamath, Oregon; Molala, Molale, Molele, Molalie; Pit River",12,1,,
Sitka Industrial Training School,"Sitka Mission; Industrial Home for Boys; Sheldon Jackson Institute; Sheldon Jackson School;
Sheldon Jackson College; Sitka No 2",AK,26,1878 - 2007,Presbyterian; Presbyterian Board of Home Missions,"Tlingit, Tlinkit",11,0,,
Pawnee Boarding and Training School,Pawnee Indian Agency; Pawnee Indian School and Pawnee Indian Boarding School,OK,325,1878 - 1958,,"Arikara, Arickaree, Arikaree; Caddo; Cherokee; Choctaw; Iowa, Ioway, Bah-Kho-Je, Baxoje; Kaw, Kansa, Kanza, Kanzas, Kansas; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Klamath; Otoe; Pawnee; Peoria; Pima; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Shawnee; Tonkawa, Oklahoma; Yuchi, Euchee",11,0,,
Menominee Boarding School,"Green Bay Boarding School; Keshena School; Keshema; Menomonee Industrial School;
Keshena Boarding School",WI,422,1876 - 1938,Catholic,"Menominee, Menomini, Mamaceqtaw; Oneida; Oneida, Wisconsin; Potawatomi, Potawatomie, Pottawatomie, Potowatomi",11,0,,
Wittenberg Indian School,Bethany Indian Mission and Industrial School; Eland Junction; Wittenberg Academy,WI,427,1883 - 1955,Norwegian Synod of the Evangelical Lutheran Church,"Mamaceqtaw; Oneida; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sioux;",11,0,1 offsite,
Tucson Indian Training School,"Tucson Industrial Boarding School; Tucson Training and Industrial School; Tucson
Presbyterian School",AZ,71,1888 - 1960,Presbyterian; Presbyterian Board of Home Missions,"Pima; Tohono O'odham, Papago",10,0,,
Morris Industrial School for Indians,"Mission of Our Lady of the Sacred Heart Indian Industrial School; The School at Morris;
University of Minnesota Morris*",MN,160,1886 - Open,Sisters of Mercy,Rosebud Sioux; Sisseton Wahpeton Oyate Sioux; Turtle Mountain Band of Chippewa,10,1,1 onsite,
Fort Peck Agency Boarding School,Poplar Creek Boarding School,MT,181,1881 - 1936,Methodist Episcopal,"Assiniboine; Chippewa; Chippewa from Rocky Boys, Montana; Cree; Cree from Rocky Boys, Montana; Santee Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Turtle Mountain Band of Chippewa; Yankton Sioux, Yanktonai",10,3,,
Quapaw Boarding School,Industrial Boarding School; Quapaw Mission School; Quapaw Manual Labor School;,OK,308,1871 - 1900,Quaker,"Ottawa of Oklahoma; Ottawa, Odawa, Odaawaa; Peoria; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Quapaw; Shawnee",10,0,,
Pine Ridge Boarding School,"Oglala Pine Ridge Boarding School; Oglala Indian Training School; Oglala Community
School; Ogalalla Boarding School; Pine Ridge School*",SD,380,1883 - Open,,"Cherokee of Oklahoma, Cherokee Nation; Cheyenne River Sioux; Flandreau Santee Sioux; Oglala Sioux from Pine Ridge; Omaha; Oneida, Wisconsin; Rosebud Sioux; Seneca; Sioux; White Earth Band Chippewa; Yankton Sioux, Yanktonai",10,4,,
Chinle Boarding School,Chinle School; Chin Lee; Many Farms Elementary School,AZ,27,1910 - 1975 | 1976 - 2012,,"Navajo, Navaho, Dine",10,20,1 offsite,
Truxton Canyon School,Valentine Indian School; Truxton Canyon Boarding School; Truxton Canon Indian School,AZ,67,1901 - 1937,,"Apache; Chemehuevi, Chimehuevi Pauite; Choctaw; Havasupai, Yava Supai; Hopi, Moqui Pueblo; Hualapai; Mohave, Mojave; Mono; Navajo, Navaho, Dine; Pima; Pueblo of Acoma, Haak'u; Salt River Pima; Tohono O'odham, Papago; Yavapai",9,9,,
Ute Mountain Boarding School,Indian School; Ute Mountain Day School; Colorado - Ute Mountain; Ute,CO,93,1907 - 1942,,"Apache; Navajo, Navaho, Dine; Paiute, Pi-Ute; Southern Ute; Ute; Ute Indian Tribe of the Uintah and Ouray; Ute Mountain Ute",9,9,,
Blackfeet Agency Boarding and Day School,"Cut Bank Boarding School; Cut Bank Creek Boarding and Day School; Blackfeet Boarding
Dormitory and School; Blackfeet Dormitory*",MT,174,1883 - Open,,"Blackfeet, Blackfoot; Cree; Creek, Muscogee, Mvskoke; Kainah, Kainai, Akainiwa, Blood; Piegan, Peigan, Pikuni, Piikuni; Quapaw; Yakama, Yakima",9,2,,
Fort Belknap Boarding and Day School,Ft Belknap Industrial School,MT,180,1889 - 1934,,"Arapaho, Arapahoe; Assiniboine; Blackfeet, Blackfoot; Chippewa; Chippewa from Rocky Boys, Montana; Cree; Cree from Rocky Boys, Montana; Gros Ventre, Aaniiih; Rogue River Indians; Sioux; Tlingit, Tlinkit; Turtle Mountain Band of Chippewa",9,9,1 offsite,
Santee Normal Training School,"Congregational Church and Manse; Santee Training School; Dacotah Mission School; Dakota
Home; Pilgrim Congregational Church",NE,191,1870 - 1937,American Board of Commissioners for Foreign Missions (ABCFM); Congregational Church,Lower Brule Sioux; Santee Sioux,9,0,1 offsite,
Mescalero Boarding School,Mescalero Apache School*,NM,246,1884 - Open,Roman Catholic,Fort Sill Apache; Mescalero Apache,9,5,,
Osage Boarding School,,OK,306,1872 - 1922,Quaker,Osage,9,0,,
Spencer Academy,,OK,326,1843 - 1900,American Board of Commissioners for Foreign Missions (ABCFM); Board of Foreign Missions of the Presbyterian Church; Presbyterian,"Choctaw; Five Tribes, Five Civilized Tribes",9,4,,1 onsite
Washita Boarding School,Washita Kiowa Boarding School,OK,444,1871 - 1896,,Kiowa,9,9,,
Colorado River Boarding School,Colorado River School; Colorado River Agency Boarding School; Parker Boarding School,AZ,72,1879 - 1933,,"Chemehuevi from Colorado River; Chemehuevi, Chimehuevi Pauite; Cocopah, Kwapa; Mohave from Colorado River; Mohave, Mojave; Northern Paiute from Warm Springs; Pawnee; Pima; Tohono O'odham, Papago",8,8,,
St. Joseph's Mission School,Slickpoo (St. Joseph),ID,113,1903 - 1968,Catholic,"Nez Perce, Idaho",8,0,1 onsite,
Osage Manual Labor School for Boys and Osage School for Girls,Osage Catholic Mission and Schools; St. Francis Institute; St. Ann's Academy; St. Paul,KS,123,1847 - 1891,Catholic; Jesuit; Sisters of Loretto,"Osage; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Quapaw",8,0,,
Toadlena Boarding School,Toadlena Day School; Toadlena Hospital; To'haali' Community School*,NM,232,1911 - Open,,"Navajo, Navaho, Dine",8,6,,1 onsite
Jicarilla Apache Boarding School,Apache Indian Boarding School; Jicarilla Indian School; Jicarilla Boarding School;,NM,244,1903 - Open,,"Jicarilla Apache; Navajo, Navaho, Dine; Pueblo; Tohono O'odham, Papago",8,0,,
Absentee Shawnee Boarding School,"Shawnee Boarding School; Shawnee Indian Training School; Shawnee School; Shawnee
Sanatorium",OK,281,1872 - 1930,,Absentee-Shawnee; Shawnee,8,0,,
White's Manual Labor Institute - Indiana,White's Indiana Manual Labor Institute,IN,117,1883 - 1895,Quaker,"Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Quapaw; Sac and Fox; Seneca; Shawnee",7,0,1 onsite,
New L'Arbre Croche Mission School,"Holy Childhood of Jesus Catholic Church and Indian School; Holy Child Harbor Springs
Boarding School; Holy Childhood of Jesus Church",MI,141,1829 - 1983,Catholic,"Chippewa; Menominee, Menomini, Mamaceqtaw; Ottawa, Odawa, Odaawaa; Potawatomi, Potawatomie, Pottawatomie, Potowatomi",7,0,1 offsite,
Zuni Boarding School,Zuni Training School; Zuni Indian School; Zuni Sanatorium; Blackrock Sanatorium School,AK,220,1896 - 1940,,"Pueblo of Zuni, Ashiwi",7,2,,
Armstrong Academy,"Armstrong Male Orphan Academy; Armstrong Male Academy; Armstrong Orphan Asylum
for Females",OK,283,1845 - 1920,Presbyterian,Choctaw,7,0,,1 onsite
Wheelock Academy,"Wheelock Female Indian Academy; Wheelock Orphan Academy; Wheelock Orphan School
(Boys and Girls); Choctaw Orphan School",OK,347,1832 - 1955,Presbyterian Board of Home Missions,"Chickasaw, Chikashsha; Choctaw; Choctaw of Oklahoma, Choctaw Nation; Creek, Muscogee, Mvskoke",7,1,,1 onsite
Umatilla Boarding and Day School,,OR,350,1882 - 1918,Catholic,"Cayuse, Liksiyu; Umatilla; Walla Walla, Wallawalla from Umatilla",7,0,,
Colville Mission Boarding School,Colville Boys' School; Colville Girls School; Colville Industrial Boarding School,WA,412,1882 - 1906,Catholic; Jesuit; Sisters of Charity,Colville; Okanagan from Colville; San Poil from Colville,7,0,,
Oneida Boarding and Day School,,WI,423,1893 - 1919,,Oneida,7,2,,
Southern Ute Boarding School (Ignacio),"Ignacio Indian Boarding School; Consolidated Ute - Ignacio; Ignacia; Ute Vocational;
Southern Ute School; Southern Ute Agency Boarding School",CO,90,1902 - 1981,,"Navajo, Navaho, Dine; Pueblo; Sioux; Ute",6,0,,
St. Rose/St. Francis Xavier School,"Academy of St. Rose; St. Bernard's Hall; Holy Child Academy; Avoca Boarding School; St.
Francis Zavier School",MN,150,1884 - 1910,Sisters of the Holy Child Jesus,Chippewa; Sioux,6,0,,1 offsite
Holy Family Mission and School,"Holy Family Catholic; Blackfeet Mission School; Holy Family Industrial School; Holy Family
Boarding School",MT,175,1890 - 1940,Jesuit; Roman Catholic,"Blackfeet, Blackfoot; Piegan, Peigan, Pikuni, Piikuni",6,0,,1 onsite
Tohatchi Boarding and Day School,Little Water School; Little Water Day School,NM,217,1894 - 1985,,"Navajo, Navaho, Dine",6,2,1 offsite,
Sequoyah Orphan Training School,Sequoyah Vocational School; Sequoyah Indian School; Sequoyah Training,OK,280,1871 - Open,,"Arapaho, Arapahoe; Cherokee; Chickasaw, Chikashsha; Choctaw; Comanche; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Seminole",6,3,,
Eufaula Boarding School,Eufala Dormitory*; National High School at Eufaula; Eufaula High School; Eufala School,OK,313,1892 - Open,,"Cherokee of Oklahoma, Cherokee Nation; Chickasaw, Chikashsha; Choctaw; Choctaw of Oklahoma, Choctaw Nation; Creek, Muscogee, Mvskoke; Muscogee Creek of Oklahoma; Ottawa, Odawa, Odaawaa; Seminole, Oklahoma; Shawnee; Yuchi, Euchee",6,1,,
Sac and Fox Indian Boarding School,"San and Fox Mission School; Sac and Fox Manual Labor School; Sac and Fox Industrial and
Boarding; Sac and Fox of the Mississippi Government Boarding School",OK,342,1872 - 1924,Quaker,"Ottawa, Odawa, Odaawaa; Sac and Fox",6,0,,
Neah Bay Boarding and Day School,Neah Bay Industrial Boarding School,WA,403,1865 - 1933,,"Cheyenne; Cheyenne Arapaho, Oklahoma; Hoh, Ho; Makah, Ozette Makah; Quileute",6,0,,
Fort Spokane Boarding School,Colville Boarding School; Spokane School; Fort Spokane Indian School; Colville Spokane Sanitorium,WA,415,1899 - 1914,,"Chewelah, Lower Spokane",6,6,,
S'Kokomish Boarding and Day School,Skokomish School,WA,417,1866 - 1918,,"S'klallam, Klallam, Clallam; Skokomish; Squaxin Island, Squaxon",6,0,,
Lac du Flambeau Boarding School,,WI,421,1895 - 1932,,"Bad River Band, Lake Superior Chippewa, Odanah; Chippewa; Forest County Potawatomi; Lac du Flambeau Band, Lake Superior Chippewa; Menominee, Menomini, Mamaceqtaw; Ojibwe, Ojibwa, Saulteaux; Oneida; Oneida, Wisconsin; Ottawa, Odawa, Odaawaa; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sioux; Sokaogon Chippewa, Wisconsin",6,6,1 offsite,
San Carlos Boarding and Day School,San Carlos Agency Boarding School; San Carlos Day School; San Carlos Indian School,AZ,69,1880 - 1955,,"Apache; Mohave, Mojave; Navajo, Navaho, Dine; San Carlos Apache",5,4,,
St. Mary's Training School for Boys,Feehanville School; Maryville Academy*,IL,115,1883 - Open,Catholic,Standing Rock Sioux,5,0,1 onsite,
Shawnee Methodist Mission and Indian Manual Labor School,Ft. Leavenworth School; Shawnee Indian Mission State Historic Site,KS,124,1839 - 1862,Methodist; Methodist Episcopal,"Delaware, Lenni Lenape; Shawnee",5,0,,
Red Lake Boarding and Day School,,MN,152,1877 - 1935,,"Chippewa; Cree; Red Lake Band of Chippewa, Minnesota; Sioux; White Earth Band Chippewa",5,5,,
