School,School,State,join_id,operation_dates,religions_identified,tribes_identified,DOI deceased,WP deceased,DOI burial sites,WP burial sites,other_names,Latitude,Longitude,Verified
Fort Shaw Government Industrial Indian School,[Fort Shaw Government Industrial Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MT/Fort_Shaw_Government_Industrial_Indian_School),MT,182,1892 - 1910,,"Assiniboine; Blackfeet, Blackfoot; Cheyenne; Chippewa; Colville; Cree; Crow, Absaroka; Flathead Indians; Gros Ventre, Aaniiih; Kalispel; Kootenai from Flathead, Montana; Nez Perce, Idaho; Northern Cheyenne, Montana; Pend d'Oreille, Upper Kalispel; Piegan, Peigan, Pikuni, Piikuni; Shoshone Bannock; Shoshone, Shoshoni, Snake; Sioux; Spokane from Flathead; Yankton Sioux, Yanktonai",1,29,1 onsite,,Fort Shaw Training School; Fort Shaw Boarding School,47.50944127,-111.8199902,TRUE
Flandreau Indian School*,[Flandreau Indian School*](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/SD/Flandreau_Indian_School),SD,387,1872 - Open,Presbyterian,"Arikara, Arickaree, Arikaree; Assiniboine; Bad River Band, Lake Superior Chippewa, Odanah; Blackfeet, Blackfoot; Bois Forte Band Chippewa, Nett Lake, Minnesota; Cherokee; Cheyenne; Cheyenne River Sioux; Chippewa; Cree; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Mandan, Mantannes, Mayadana; Menominee, Menomini, Mamaceqtaw; Mohawk, Kanien'keha:ka; Oglala Sioux from Pine Ridge; Omaha; Oneida; Ottawa, Odawa, Odaawaa; Pawnee; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Sioux; Stockbridge-Munsee, Stockbridge Mohican; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",9,28,,,Flandreau Training; Riggs Institute,44.06227724,-96.59331559,TRUE
Fort Apache Boarding School,[Fort Apache Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Fort_Apache_Boarding_School),AZ,46,1894 - 1970,,"Apache; Navajo, Navaho, Dine; Pima; San Carlos Apache; White Mountain Apache",17,27,,,Mountain Apache Boarding School; Whiteriver School; Fort Apache Training School,33.83866144,-109.9643154,PARTIAL
Tuba City Boarding School*,[Tuba City Boarding School*](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Tuba_City_Boarding_School),AZ,61,1903 - Open,,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Paiute, Pi-Ute",11,27,,2 offsite,Western Navajo Indian School; Tuba Vocational Boarding and Day School,36.132668,-111.241262,TRUE
Greenville Indian Industrial Boarding School,[Greenville Indian Industrial Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CA/Greenville_Indian_Industrial_Boarding_School),CA,85,1891 - 1923,Methodist,"Cachil DeHe Band of Wintun Indians, Colusa; Digger Indian; Mechoopda, Chico; Shasta; Washoe, Washo",1,27,,,Greenville Training School; Greenville Day School,40.14509089,-120.903472,TRUE
Fort Yuma Indian Boarding School,[Fort Yuma Indian Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CA/Fort_Yuma_Indian_Boarding_School),CA,84,1884 - 1933,Catholic,"Apache; Cherokee; Cocopah, Kwapa; Fallon Paiute Shoshone; Mission Indians, California; Mohave from Colorado River; Mohave, Mojave; Paiute, Pi-Ute; Pima; Quechan, Yuma; Sioux; Tohono O'odham, Papago",4,26,,,Ft. Yuma,32.732685,-114.616437,TRUE
Quinaielt Boarding and Day School,[Quinaielt Boarding and Day School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WA/Quinaielt_Boarding_and_Day_School),WA,409,1870 - 1920,,"Puyallup; Quileute; Quinault, Quinaielt",0,26,,,Quinailt School; Taholah (Quinaielt) Day School; Taholah Day School; Tahola Day School,47.33908333,-124.2905556,FALSE
Crownpoint Boarding School,[Crownpoint Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NM/Crownpoint_Boarding_School),NM,208,1912 - 1962 | 1963 - Open,Christian Reformed Church,"Cherokee; Navajo, Navaho, Dine; Ramah Navajo",11,26,,1 offsite,"Crownpoint Community School; Pueblo Bonito Boarding School; Eastern Navajo; T'iis Ts'ozi
Bi' Olta'*",35.684634,-108.141367,TRUE
Fort Lewis Indian Boarding School,[Fort Lewis Indian Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CO/Fort_Lewis_Indian_Boarding_School),CO,89,1892 - 1909,,"Mescalero Apache; Navajo, Navaho, Dine; Pueblo; Southern Ute",1,25,,1 onsite,Fort Lewis High School; Fort Lewis A&M College; Old Fort; Fort Lewis College,37.23273111,-108.048624,TRUE
Hampton Institute,[Hampton Institute](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/VA/Hampton_Institute),VA,402,1878 - Open,"Congregational Church; Independent, Nonsectarian Missionary","Absentee-Shawnee; Arikara, Arickaree, Arikaree; Comanche; Crow, Absaroka; Delaware, Lenni Lenape; Hidatsa, Hiraaca; Ho-Chunk, Winnebago; Mandan, Mantannes, Mayadana; Omaha; Oneida; Onondaga; Pawnee; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sioux",4,23,1 onsite,,"Butler School for Negro Children; Hampton Agricultural and Industrial School; Hampton
Normal and Agricultural Institute; Hampton University*",37.020672,-76.332787,TRUE
Charles H. Burke Indian School,[Charles H. Burke Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NM/Charles_H_Burke_Indian_School),NM,204,1926 - Open,,"Apache; Cherokee; Hopi, Moqui Pueblo; Mescalero Apache; Navajo, Navaho, Dine; Paiute, Pi-Ute; Pawnee; Pueblo of Acoma, Haak'u; Pueblo of Laguna, Ka'waika; Pueblo of Santo Domingo; Pueblo of Zuni, Ashiwi; San Carlos Apache; Sioux",18,22,1 onsite,,"Fort Wingate Boarding School; Fort Wingate Vocational High School; Wingate Indian
School; Wingate Vocational High School; Windgate School; Chas. H. Burke Indian School;
Wingate High School*",35.46504025,-108.5415335,TRUE
Warm Springs Boarding and Day School,[Warm Springs Boarding and Day School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OR/Warm_Springs_Boarding_and_Day_School),OR,357,1882 - 1935,Presbyterian,"Chippewa; Hupa, Hoopa; Klikitat; Northern Paiute from Warm Springs; Paiute from Warm Springs; Paiute, Pi-Ute; Seneca; Sioux; Tenino from Warm Springs; Wasco, Wishram; Wasco, Wishram, Chinook from Warm Springs; Yakama, Yakima",3,22,,,,44.75944444,-121.27175,FALSE
Keams Canyon Boarding School,[Keams Canyon Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/UT/Keams_Canyon_Boarding_School),UT,48,1887 - Open,,"Hopi from Colorado River; Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Pima",20,20,,,"Moquis Indian School; Moqui Industrial School; Moquis Boarding School; Keam's Canyon
(Moqui Boarding); Keam's Cañon; Keam's Canyon (Hopi); Hopi Boarding School; Hopi
(Moqui) Training School; Keams Canyon Elementary School",36.73121786,-110.2499337,TRUE
Pipestone Indian School,[Pipestone Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MN/Pipestone_Indian_School),MN,161,1893 - 1959,,"Arikara, Arickaree, Arikaree; Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Cheyenne River Sioux; Chippewa; Crow Creek Sioux; Flandreau Santee Sioux; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Mandan, Mantannes, Mayadana; Minnesota Chippewa; Omaha; Oneida, Wisconsin; Ottawa, Odawa, Odaawaa; Red Lake Band of Chippewa, Minnesota; Rosebud Sioux; Sac and Fox; Sac and Fox of the Mississippi in Iowa; Santee Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",3,20,,,,44.02055556,-96.31944444,TRUE
Tulalip Indian Industrial School,[Tulalip Indian Industrial School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WA/Tulalip_Indian_Industrial_School),WA,406,1901 - 1932,Catholic,"Chehalis; Cherokee; Colville; Cowlitz; Duwamish; Flathead Indians; Lummi; Makah, Ozette Makah; Muckleshoot; Nisqually, Nisqualli; Nooksack; Port Madison, Suquamish; Puyallup; Quileute; Quinault, Quinaielt; Samish; Skagit; S'klallam, Klallam, Clallam; Skokomish; Snohomish; Snoqualmie; Squaxin Island, Squaxon; Suquamish; Swinomish; Tulalip; White Earth Band Chippewa; Yakama, Yakima",1,20,,1 offsite,Tulalip Training School; Tulalip Industrial Boarding School; Tulalip Agency Male and Female School,48.06448072,-122.2926135,TRUE
Fort Mojave Industrial School,[Fort Mojave Industrial School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Fort_Mojave_Industrial_School),AZ,62,1890 - 1931,,"Apache; Chemehuevi from Colorado River; Chemehuevi, Chimehuevi Pauite; Cherokee; Chippewa; Digger Indian; Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Havasupai, Yava Supai; Hopi, Moqui Pueblo; Kaibab Band of Paiute; Mission Indians, California; Moapa Band of Paiute; Mohave from Colorado River; Mohave, Mojave; Navajo, Navaho, Dine; Paiute of Utah; Paiute Shoshone; Paiute, Pi-Ute; Pima; Pueblo; Pueblo of Isleta, Tue-I; Salt River Pima; Sioux; Tohono O'odham, Papago; United Auburn; Yakama, Yakima",5,19,,,"Fort Mojave Boarding School; Fort Mojave Training School; Fort Mohave; Fort Mojave
School; Herbert Welsh Institute",35.04278629,-114.6217551,TRUE
Pima Boarding School,[Pima Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Pima_Boarding_School),AZ,74,1880 - 1970,,"Pima; Tohono O'odham, Papago",7,19,,,Pima Agency Boarding School; Pima Central Day School; Sacaton Boarding School; Sacaton Central School,33.080615,-111.739692,TRUE
Seger Indian Training School,[Seger Indian Training School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Seger_Indian_Training_School),OK,343,1892 - 1941,Dutch Reformed Church,"Apache; Arapaho, Arapahoe; Caddo; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Choctaw; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Kickapoo, Kiikaapoa, Kiikaapoi; Otoe; Pawnee; Pima; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Seminole; Shawnee; Sioux",2,19,,1 offsite,Seger Colony Boarding,35.3447265,-98.6711993,TRUE
Siletz Boarding School,[Siletz Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OR/Siletz_Boarding_School),OR,355,1873 - 1919,,"Alsea Yaquina from Siletz; Athabascan, Athapascan, Dene, Dena, Tinne, Tinneh; Coos from Siletz; Coquille, Ko-Kwel; Klamath, Oregon; Klikitat; Mille Lacs Band of Ojibwe, Chippewa, Minnesota; Rogue River Indians; Saiustkea; Shasta; Shasta Cosa from Siletz, Chastacosta; Shasta from Siletz, Kahosadi; Siuslaw; Tilamook, Nekelim, Siletz from Siletz; Tututni; Tututni from Siletz; Umpqua",0,19,,,Liberty Industrial School; Siletz Industrial Boarding School,44.72622222,-123.9115,FALSE
Lincoln Institution,[Lincoln Institution](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/PA/Lincoln_Institution),PA,358,1855 - 1902 | 1866 - 1926,Protestant Episcopal,"Cheyenne; Chippewa; Crow, Absaroka; Delaware, Lenni Lenape; Haudenosaunee, Iroquois Confederacy, Six Nations; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Nebraska; Kiowa; Miami; Modoc; Mohawk, Kanien 'keha:ka; Navajo, Navaho, Dine; Ojibwe, Ojibwa, Saulteaux; Omaha; Oneida; Osage; Pawnee; Santee Sioux; Sioux; Wichita, Kitikiti'sh",10,19,,1 offsite,"Boys' Home of the Lincoln Institute; Educational Home
for Boys; Lincoln Institute",39.97541667,-75.13175,FALSE
Choctaw Indian Academy,[Choctaw Indian Academy](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/KY/Choctaw_Indian_Academy),KY,135,1825 - 1830 | 1830 - 1848,Baptist; Baptist Mission Society of Kentucky,"Cherokee; Chicago; Chickasaw, Chikashsha; Chippewa; Choctaw; Creek, Muscogee, Mvskoke; Ho-Chunk, Winnebago; Iowa, Ioway, Bah-Kho-Je, Baxoje; Miami; Osage; Ottawa, Odawa, Odaawaa; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Prairie du Chien Tribe; Quapaw; Sac and Fox; Seminole",30,18,1 onsite,,Chocktaw Academy; The Academy,38.23198896,-84.63416407,TRUE
St. Xavier Mission School,[St. Xavier Mission School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MT/St_Xavier_Mission_School),MT,177,1887 - Open,Catholic,"Crow, Absaroka",0,17,1 onsite,,Pretty Eagle Catholic Academy*; San Xavier,45.46262798,-107.727387,TRUE
St. Paul's Industrial School,[St. Paul's Industrial School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MN/St_Pauls_Industrial_School),MN,157,1877 - 1898,Catholic,Chippewa; Sioux,0,16,1 offsite,,Clontarf Industrial School,45.39431423,-95.70099543,TRUE
Wahpeton Indian School,[Wahpeton Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/ND/Wahpeton_Indian_School),ND,268,1908 - Open,,"Arikara, Arickaree, Arikaree; Assiniboine; Cheyenne River Sioux; Chippewa; Chippewa from Rocky Boys, Montana; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago, Nebraska; Leech Lake Band Chippewa, Minnesota; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Mohawk, Kanien'keha:ka; Nakoda from Fort Belknap; Navajo, Navaho, Dine; Pascua Yaqui; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Red Lake Band of Chippewa, Minnesota; Rosebud Sioux; Sac and Fox of the Mississippi in Iowa; Sandy Lake Band of Mississippi Chippewa; Shoshone, Shoshoni, Snake; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",8,16,,2 offsite,Wahpeton School; Wahpeton Indian School; Circle of Nations*,46.273243,-96.613071,TRUE
Riverside Indian School,[Riverside Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Riverside_Indian_School),OK,295,1871 - Open,,"Apache; Caddo; Cherokee; Cheyenne; Cheyenne Arapaho, Oklahoma; Chickasaw, Chikashsha; Chippewa; Choctaw; Comanche; Cree; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Kiowa; Kiowa Apache, Plains Apache; Otoe; Pawnee; Seminole; Shawnee; Sioux; Wichita, Kitikiti'sh",14,16,1 onsite,,Riverside Boarding; Wichita Caddo School; Wichita Indian Boarding School,35.09511111,-98.25391667,TRUE
Uintah Boarding and Day School,[Uintah Boarding and Day School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/UT/Uintah_Boarding_and_Day_School),UT,397,1881 - 1952,Presbyterian Board of Home Missions,"Bannock, Northern Paiute; Blackfeet, Blackfoot; Digger Indian; Mission Indians, California; Shoshone Bannock; Shoshone, Shoshoni, Snake; Southern Ute; Ute; Ute Indian Tribe of the Uintah and Ouray",7,16,,,Uintah Valley Boarding School; White Rocks Boarding School; Ute Indian Boarding School,40.47214,-109.926824,TRUE
Cherokee Boarding School,[Cherokee Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NC/Cherokee_Boarding_School),NC,251,1877 - Open,Quaker; Religious Society of Friends,"Catawba, Issa, Essa, Iswa; Cherokee; Eastern Cherokee, North Carolina",15,15,1 onsite,1 offsite,Eastern Cherokee School; Eastern Cherokee Training School; Cherokee Central High School*,35.482201,-83.320233,TRUE
Fort Coffee Academy,[Fort Coffee Academy](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Fort_Coffee_Academy),OK,320,1844 - 1861,Methodist,Choctaw,15,15,1 onsite,,Fort Coffee Manual Labor School; Providence,35.319683,-94.596164,TRUE
New Hope Academy,[New Hope Academy](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/New_Hope_Academy),OK,442,1844 - 1896,Methodist,Choctaw,14,15,,,New Hope Seminary,35.2497,-94.5817,APPROX
Dwight Mission School,[Dwight Mission School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Dwight_Mission_School),OK,445,1827 - 1835 | 1835 - 1948,American Board of Commissioners for Foreign Missions (ABCFM); Presbyterian,Cherokee,0,15,1 onsite,,Dwight Indian Training School; Dwight Mission Industrial School,35.546243,-94.8713153,TRUE
Theodore Roosevelt Indian Boarding School,[Theodore Roosevelt Indian Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Theodore_Roosevelt_Indian_Boarding_School),AZ,55,1923 - Open,,"Apache; Navajo, Navaho, Dine; Pueblo of Zuni, Ashiwi; White Mountain Apache",11,14,,,Theodore Roosevelt Boarding School; Fort Apache School; Theodore Roosevelt School*,33.79046135,-109.9880699,TRUE
Cheyenne and Arapaho Boarding School,[Cheyenne and Arapaho Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Cheyenne_and_Arapaho_Boarding_School),OK,286,1909 - 1983,,"Arapaho, Arapahoe; Caddo; Cherokee; Cheyenne; Cheyenne Arapaho, Oklahoma; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Kickapoo, Kiikaapoa, Kiikaapoi; Otoe; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Seminole; Seneca; Shawnee; Sioux; Southern Arapaho, Oklahoma; Southern Cheyenne, Oklahoma; Tonkawa, Oklahoma; Wyandot, Wyandotte",11,14,,,Concho Indian Boarding School,35.610778,-97.99095149,TRUE
Seneca Boarding School,[Seneca Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Seneca_Boarding_School),OK,309,1872 - 1980,Quaker,"Apache; Arapaho, Arapahoe; Cherokee; Cherokee of Oklahoma, Cherokee Nation; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Eastern Shawnee of Oklahoma; Kickapoo, Kiikaapoa, Kiikaapoi; Miami; Modoc, Oklahoma; Munsee, Muncee, Minsi; Oneida; Osage; Ottawa, Odawa, Odaawaa; Peoria; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Quapaw; Sac and Fox; Seneca; Seneca-Cayuga Nation, Oklahoma; Shawnee; Shoshone, Shoshoni, Snake; Wyandot, Wyandotte",6,14,,,"Seneca Indian School; Wyandotte Mission; Seneca, Shawnee, and Wyandotte Industrial Boarding School; Seneca Industrial Boarding School; Seneca (Quapaw)",36.804563,-94.724919,TRUE
Cherokee Orphan Training School,[Cherokee Orphan Training School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Cherokee_Orphan_Training_School),OK,335,1871 - 1923,,"Cherokee; Choctaw of Oklahoma, Choctaw Nation; Muscogee Creek of Oklahoma",0,14,1 onsite,,"Cherokee Indian Orphan Asylum and School; Cheroke Orphan Asylum; Cherokee Orphan
Academy; Cherokee Orphan Home",36.28877778,-95.15622222,TRUE
Hayward Boarding School,[Hayward Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WI/Hayward_Boarding_School),WI,420,1901 - 1934,,"Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Chippewa; Fond du Lac Band Chippewa, Minnesota; Lac Courte Oreilles Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Minnesota Chippewa; Red Cliff Band, Lake Superior Chippewa, Wisconsin; Sioux; St Croix Chippewa, Saint Croix, Wisconsin; White Earth Band Chippewa",3,14,,1 offsite,Hayward Indian School,46.03603977,-91.48773881,TRUE
Fort Bidwell Indian Boarding School,[Fort Bidwell Indian Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CA/Fort_Bidwell_Indian_Boarding_School),CA,83,1898 - 1932,,"Cedarville Paiute; Cowlitz; Digger Indian; Fort Bidwell Paiute; Klamath; Modoc from Klamath, Oregon; Paiute, Pi-Ute; Pit River; Summit Lake Paiute, Nevada; Tolowa Dee-ni', Smith River; Wintun, Wintoon",0,13,,1 offsite,Fort Bidwell Training School; Fort Bidwell Boarding School,41.8582852,-120.1583896,TRUE
Vermillion Lake Indian School,[Vermillion Lake Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MN/Vermillion_Lake_Indian_School),MN,158,1899 - 1954,,"Bois Forte Band Chippewa, Nett Lake, Minnesota; Sandy Lake Band of Mississippi Chippewa",1,13,,1 offsite,Lake Vermillion Boarding School,47.81166667,-92.29136111,FALSE
Fort Stevenson Boarding School,[Fort Stevenson Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/ND/Fort_Stevenson_Boarding_School),ND,261,1883 - 1894,,"Arikara, Arickaree, Arikaree; Assiniboine; Crow, Absaroka; Gros Ventre, Aaniiih; Hidatsa, Hiraaca; Mandan, Mantannes, Mayadana; Turtle Mountain Band of Chippewa",0,13,,,Fort Stephenson Industrial School; Howard Institute,47.55985408,-101.4851855,TRUE
Standing Rock Agency Boarding School,[Standing Rock Agency Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/ND/Standing_Rock_Agency_Boarding_School),ND,263,1877 - 1951,Benedictine; Catholic,Chippewa; Cree; Oglala Sioux from Pine Ridge; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Turtle Mountain Band of Chippewa,8,13,,,Standing Rock Indian Industrial Boarding School; Boy's School at Standing Rock; Fort Yates School; Standing Rock Community School,46.0967,-100.631141,TRUE
St. Patrick's Mission and Boarding School,[St. Patrick's Mission and Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/St_Patricks_Mission_and_Boarding_School),OK,299,1892 - 1933,Catholic; Catholic Bureau of Indian Missions,"Apache; Arapaho, Arapahoe; Caddo; Cheyenne; Comanche; Delaware, Lenni Lenape; Hopi from Colorado River; Hopi, Moqui Pueblo; Kiowa; Kiowa Apache, Plains Apache; Pawnee; Pit River; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Round Valley; Wichita, Kitikiti'sh; Wyandot, Wyandotte",0,13,,1 offsite,Anadarko Boarding School,35.0586258,-98.2622835,TRUE
Cheyenne River Agency Boarding School,[Cheyenne River Agency Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/SD/Cheyenne_River_Agency_Boarding_School),SD,385,1893 - 1959,,"Blackfeet, Blackfoot; Cheyenne River Sioux; Chippewa; Miniconjou, Minnekonjou; Rosebud Sioux; Sans Arc Sioux; Sioux; Standing Rock Sioux; Two Kettle Sioux",4,13,,,Forest City Boarding School,45.0025,-100.3003611,FALSE
Fort Simcoe Indian Boarding School,[Fort Simcoe Indian Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WA/Fort_Simcoe_Indian_Boarding_School),WA,414,1860 - 1922,Methodist,"Klikitat; Wasco, Wishram; Yakama, Yakima",6,13,,1 offsite,"Yakama; Yakima Indian Boarding School; Yakima Agency Boarding School; Yakima
Reservation School; Yakima School",46.3427961,-120.8375567,TRUE
Leupp Boarding and Day School,[Leupp Boarding and Day School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Leupp_Boarding_and_Day_School),AZ,59,1909 - 1942,,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Oneida; Sioux; White Earth Band Chippewa",12,12,,,"Leupp Schools, Inc.; Old Leupp Boarding and Day School",35.283109,-110.964117,TRUE
Hoopa Valley Boarding School,[Hoopa Valley Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CA/Hoopa_Valley_Boarding_School),CA,86,1893 - 1934,,"Blue Lake Rancheria of the Wiyot, Yurok, Hupa; Eel River, Lassik, Wailaki; Hupa, Hoopa; Karuk; Klamath; Quartz Valley, Klamath, Karuk, Shasta; Santa Rosa Band of Mission Indians, Cahuilla; Scotts Valley, Pomo; Shasta; Tolowa Dee-ni', Smith River",4,12,,,Hupa Valley Boarding,41.0502674,-123.6749356,TRUE
Jones Male Academy,[Jones Male Academy](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Jones_Male_Academy),OK,321,1891 - Open,,"Cherokee; Chickasaw, Chikashsha; Choctaw",9,12,,,Jones Academy*,34.8843471,-95.5204959,TRUE
Yankton Industrial Boarding School,[Yankton Industrial Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/SD/Yankton_Industrial_Boarding_School),SD,392,1882 - 1919,,"Yankton Sioux, Yanktonai",1,12,,,Yankton Agency Boarding School; Dakota Industrial School in Yankton City,42.88413889,-97.37477778,FALSE
Ouray Indian School,[Ouray Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/UT/Ouray_Indian_School),UT,396,1893 - 1906,,Uncompahgre Ute; Ute Indian Tribe of the Uintah and Ouray,5,12,,,Ouray Boarding School; Uncompahgre Boarding School,40.231302,-109.803556,TRUE
Tomah Indian Industrial School,[Tomah Indian Industrial School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WI/Tomah_Indian_Industrial_School),WI,426,1893 - 1941,,"Bad River Band, Lake Superior Chippewa, Odanah; Bois Forte Band Chippewa, Nett Lake, Minnesota; Chippewa; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Wisconsin; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Menominee, Menomini, Mamaceqtaw; Minnesota Chippewa; Mohawk, Kanien 'keha:ka; Nakoda from Fort Peck; Oneida; Oneida, Wisconsin; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Sioux; Stockbridge-Munsee, Stockbridge Mohican; White Earth Band Chippewa",2,12,,,Tomah VA Medical Center,44.00391921,-90.49453315,TRUE
Klamath Agency / Yainax Boarding School,[Klamath Agency / Yainax Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OR/Klamath_Agency__Yainax_Boarding_School),OR,349,1873 - 1928,,"Klamath; Modoc; Modoc from Klamath, Oregon; Molala, Molale, Molele, Molalie; Pit River",1,12,,,Klamath Indian School,42.57416667,-121.8678611,FALSE
Sitka Industrial Training School,[Sitka Industrial Training School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AK/Sitka_Industrial_Training_School),AK,26,1878 - 2007,Presbyterian; Presbyterian Board of Home Missions,"Tlingit, Tlinkit",0,11,,,"Sitka Mission; Industrial Home for Boys; Sheldon Jackson Institute; Sheldon Jackson School;
Sheldon Jackson College; Sitka No 2",57.052,-135.323,TRUE
